historical_complaint_id,original_text,language,normalized_text_en,category,subcategory,city,ward,created_at,resolved_at,priority_label,actual_resolution_days,resolved_by_officer_id,resolution_summary,similarity_group_id,citizen_feedback_score
H0001,"Ward-09, Cuttack में रुका हुआ पानी की शिकायत है।",hi,"stagnant water observed in Ward-09, Cuttack.",health,stagnant water,Cuttack,Ward-09,2025-10-11 12:49:00,2025-10-14 20:49:00,high,3,O030,Stagnant water removed (high priority case),SIM_HEALTH_02,3.9
H0002,"stray dog issue creating danger in Ward-06, Puri.",en,"stray dog issue creating danger in Ward-06, Puri.",public_safety,stray dog issue,Puri,Ward-06,2025-11-05 12:25:00,2025-11-07 01:25:00,high,1,O044,Emergency crew resolved unsafe condition (high priority case),SIM_PUBLIC_SAFETY_03,3.1
H0003,"Ward-07, Sambalpur ରେ ଅସୁରକ୍ଷିତ ନିର୍ମାଣ ଅବଶିଷ୍ଟ ଦ୍ୱାରା ବିପଦ ହେଉଛି।",or,"unsafe construction debris creating danger in Ward-07, Sambalpur.",public_safety,unsafe construction debris,Sambalpur,Ward-07,2025-09-14 01:18:00,2025-09-15 12:18:00,high,1,O059,Emergency crew resolved unsafe condition (high priority case),SIM_PUBLIC_SAFETY_04,3.9
H0004,"Immediate action needed for open electric box near Ward-20, Sambalpur.",en,"Immediate action needed for open electric box near Ward-20, Sambalpur.",public_safety,open electric box,Sambalpur,Ward-20,2025-08-14 01:15:00,2025-08-16 06:15:00,medium,2,O060,Temporary barricading installed (medium priority case),SIM_PUBLIC_SAFETY_02,4.0
H0005,"contaminated water has affected houses around Ward-16, Sambalpur.",en,"contaminated water has affected houses around Ward-16, Sambalpur.",water,contaminated water,Sambalpur,Ward-16,2025-08-18 16:03:00,2025-08-22 02:03:00,low,3,O050,Contamination source flushed (low priority case),SIM_WATER_04,3.7
H0006,"Ward-15, Puri ରେ ଷ୍ଟ୍ରିଟ୍ ଲାଇଟ୍ ଖରାପ ଅଭିଯୋଗ ମିଳିଛି।",or,"street light failure reported in Ward-15, Puri for 2 hours.",electricity,street light failure,Puri,Ward-15,2025-11-10 00:19:00,2025-11-11 18:19:00,high,1,O036,Transformer maintenance completed (high priority case),SIM_ELECTRICITY_02,3.2
H0007,आवारा कुत्ते की समस्या के लिए तुरंत कार्रवाई चाहिए।,hi,"stray dog issue creating danger in Ward-27, Cuttack.",public_safety,stray dog issue,Cuttack,Ward-27,2025-12-11 03:49:00,2025-12-13 05:49:00,medium,2,O027,Emergency crew resolved unsafe condition (medium priority case),SIM_PUBLIC_SAFETY_03,4.8
H0008,"Citizens reported broken divider near school in Ward-07, Sambalpur.",en,"Citizens reported broken divider near school in Ward-07, Sambalpur.",roads,broken divider,Sambalpur,Ward-07,2025-11-25 00:45:00,2025-11-30 08:45:00,medium,5,O056,Divider repaired and marked (medium priority case),SIM_ROADS_03,4.5
H0009,"Complaint about unclean public toilet near apartment block in Ward-01, Bhubaneswar.",en,"Complaint about unclean public toilet near apartment block in Ward-01, Bhubaneswar.",sanitation,unclean public toilet,Bhubaneswar,Ward-01,2025-08-11 15:58:00,2025-08-17 07:58:00,low,5,O005,Garbage removed and area cleaned (low priority case),SIM_SANITATION_04,4.1
H0010,"Public safety complaint: unsafe construction debris in Ward-19, Bhubaneswar.",en,"Public safety complaint: unsafe construction debris in Ward-19, Bhubaneswar.",public_safety,unsafe construction debris,Bhubaneswar,Ward-19,2025-11-04 15:49:00,2025-11-05 18:49:00,high,1,O011,Hazard removed and area secured (high priority case),SIM_PUBLIC_SAFETY_04,4.6
H0011,"Ward-19, Bhubaneswar ରେ ବସ୍ ଷ୍ଟପ୍ ଖରାପ ସମସ୍ୟା ଅଛି।",or,"bus stop damage at junction in Ward-19, Bhubaneswar.",transport,bus stop damage,Bhubaneswar,Ward-19,2025-12-05 11:09:00,2025-12-08 21:09:00,medium,3,O016,Signal repaired and restarted (medium priority case),SIM_TRANSPORT_02,4.3
H0012,"illegal parking at junction in Ward-18, Puri.",en,"illegal parking at junction in Ward-18, Puri.",transport,illegal parking,Puri,Ward-18,2025-12-20 17:24:00,2025-12-26 17:24:00,medium,6,O047,Signal repaired and restarted (medium priority case),SIM_TRANSPORT_04,3.6
H0013,"sewer overflow near Ward-09, Cuttack after rain.",en,"sewer overflow near Ward-09, Cuttack after rain.",drainage,sewer overflow,Cuttack,Ward-09,2025-09-30 21:57:00,2025-10-07 15:57:00,medium,6,O025,Drain cleaned and flow restored (medium priority case),SIM_DRAINAGE_03,4.5
H0014,"People are suffering due to blocked drain in Ward-09, Cuttack.",en,"People are suffering due to blocked drain in Ward-09, Cuttack.",drainage,blocked drain,Cuttack,Ward-09,2025-11-01 13:22:00,2025-11-04 15:22:00,medium,3,O025,Waterlogging cleared with suction pump (medium priority case),SIM_DRAINAGE_01,4.9
H0015,"road damage on main road of Ward-14, Cuttack.",en,"road damage on main road of Ward-14, Cuttack.",roads,road damage,Cuttack,Ward-14,2025-12-29 03:57:00,2026-01-01 17:57:00,high,3,O023,Work order raised for full resurfacing (high priority case),SIM_ROADS_02,3.1
H0016,"Health-related complaint about smoke nuisance in Ward-03, Cuttack.",en,"Health-related complaint about smoke nuisance in Ward-03, Cuttack.",health,smoke nuisance,Cuttack,Ward-03,2025-08-17 05:11:00,2025-08-20 21:11:00,high,3,O030,Waste dumping site cleaned (high priority case),SIM_HEALTH_04,4.0
H0017,ନଷ୍ଟ ଫୁଟପାଥ ଯୋଗୁଁ ଲୋକମାନେ ଅସୁବିଧାରେ ଅଛନ୍ତି।,or,"damaged footpath on main road of Ward-03, Cuttack.",roads,damaged footpath,Cuttack,Ward-03,2025-09-02 23:13:00,2025-09-10 01:13:00,medium,7,O024,Work order raised for full resurfacing (medium priority case),SIM_ROADS_04,3.5
H0018,"Citizens reported traffic signal not working in Ward-01, Bhubaneswar.",en,"Citizens reported traffic signal not working in Ward-01, Bhubaneswar.",transport,traffic signal not working,Bhubaneswar,Ward-01,2025-09-23 06:53:00,2025-09-26 08:53:00,medium,3,O015,Parking enforcement team dispatched (medium priority case),SIM_TRANSPORT_01,3.6
H0019,"mosquito breeding observed in Ward-12, Bhubaneswar.",en,"mosquito breeding observed in Ward-12, Bhubaneswar.",health,mosquito breeding,Bhubaneswar,Ward-12,2025-08-25 09:54:00,2025-08-27 16:54:00,medium,2,O014,Waste dumping site cleaned (medium priority case),SIM_HEALTH_01,3.0
H0020,"garbage not collected in Ward-21, Cuttack for the last 3 days.",en,"garbage not collected in Ward-21, Cuttack for the last 3 days.",sanitation,garbage not collected,Cuttack,Ward-21,2025-12-19 21:10:00,2025-12-24 10:10:00,low,4,O022,Garbage removed and area cleaned (low priority case),SIM_SANITATION_01,4.9
H0021,"garbage not collected in Ward-14, Cuttack for the last 2 hours.",en,"garbage not collected in Ward-14, Cuttack for the last 2 hours.",sanitation,garbage not collected,Cuttack,Ward-14,2025-12-22 23:16:00,2025-12-26 09:16:00,medium,3,O022,Garbage removed and area cleaned (medium priority case),SIM_SANITATION_01,3.7
H0022,There is contaminated water near Ward-07 in Sambalpur since 3 days.,en,There is contaminated water near Ward-07 in Sambalpur since 3 days.,water,contaminated water,Sambalpur,Ward-07,2025-09-29 21:57:00,2025-10-02 04:57:00,medium,2,O049,Valve adjusted and water supply restored (medium priority case),SIM_WATER_04,5.0
