complaint_id,input_type,original_text,language,normalized_text_en,category,subcategory,city,ward,created_at,priority_label,eta_days_label,assigned_officer_id,assigned_department,citizen_sentiment_score,attachments_count,status
C0001,text,"smoke nuisance observed in Ward-01, Bhubaneswar.",en,"smoke nuisance observed in Ward-01, Bhubaneswar.",health,smoke nuisance,Bhubaneswar,Ward-01,2026-01-27 09:52:00,low,6,O014,Public Health,0.22,2,submitted
C0002,text,Bhubaneswar के Ward-08 में मैनहोल का ढक्कन टूटा हो रहा है।,hi,"manhole cover broken near Ward-08, Bhubaneswar after rain.",drainage,manhole cover broken,Bhubaneswar,Ward-08,2026-01-23 14:11:00,high,1,O009,Drainage,0.28,2,submitted
C0003,audio,"stagnant water observed in Ward-19, Bhubaneswar.",en,"stagnant water observed in Ward-19, Bhubaneswar.",health,stagnant water,Bhubaneswar,Ward-19,2026-02-01 09:27:00,medium,3,O013,Public Health,0.92,0,in_progress
C0004,text,"Complaint filed for sewer overflow in Ward-15, Puri since 1 week.",en,"Complaint filed for sewer overflow in Ward-15, Puri since 1 week.",drainage,sewer overflow,Puri,Ward-15,2026-02-02 16:43:00,high,1,O041,Drainage,0.68,0,submitted
C0005,audio,"illegal dumping observed in Ward-27, Cuttack.",en,"illegal dumping observed in Ward-27, Cuttack.",health,illegal dumping,Cuttack,Ward-27,2026-03-10 06:47:00,medium,5,O029,Public Health,0.27,2,submitted
C0006,audio,"People are suffering due to waterlogging in Ward-09, Cuttack.",en,"People are suffering due to waterlogging in Ward-09, Cuttack.",drainage,waterlogging,Cuttack,Ward-09,2026-01-07 13:29:00,high,3,O026,Drainage,0.65,3,in_progress
C0007,text,ଆବର୍ଜନା ଉଠାଯାଇନି ପାଇଁ Ward-03 ଅଞ୍ଚଳରେ ଅସୁବିଧା ହେଉଛି।,or,"garbage not collected in Ward-03, Cuttack for the last 2 days.",sanitation,garbage not collected,Cuttack,Ward-03,2026-03-14 17:07:00,medium,2,O022,Sanitation,0.83,2,resolved
C0008,video,"There is smoke nuisance near residential area in Ward-20, Sambalpur.",en,"There is smoke nuisance near residential area in Ward-20, Sambalpur.",health,smoke nuisance,Sambalpur,Ward-20,2026-03-14 00:40:00,low,6,O062,Public Health,0.81,1,submitted
C0009,video,"sewer overflow near Ward-05, Bhubaneswar after rain.",en,"sewer overflow near Ward-05, Bhubaneswar after rain.",drainage,sewer overflow,Bhubaneswar,Ward-05,2026-02-03 00:44:00,low,4,O009,Drainage,0.37,2,in_progress
C0010,video,"contaminated water has affected houses around Ward-07, Sambalpur.",en,"contaminated water has affected houses around Ward-07, Sambalpur.",water,contaminated water,Sambalpur,Ward-07,2026-01-01 20:22:00,low,6,O049,Water Supply,0.5,4,in_progress
C0011,video,"Citizens reported road signage missing in Ward-09, Cuttack.",en,"Citizens reported road signage missing in Ward-09, Cuttack.",transport,road signage missing,Cuttack,Ward-09,2026-02-28 06:51:00,high,3,O032,Traffic & Transport,0.33,1,resolved
C0012,text,"There is mosquito breeding near residential area in Ward-19, Bhubaneswar.",en,"There is mosquito breeding near residential area in Ward-19, Bhubaneswar.",health,mosquito breeding,Bhubaneswar,Ward-19,2026-01-05 14:16:00,medium,3,O014,Public Health,0.37,3,submitted
C0013,text,"Complaint filed for manhole cover broken in Ward-04, Sambalpur since 1 week.",en,"Complaint filed for manhole cover broken in Ward-04, Sambalpur since 1 week.",drainage,manhole cover broken,Sambalpur,Ward-04,2026-02-25 19:04:00,medium,3,O058,Drainage,0.79,2,resolved
C0014,audio,"Ward-09, Cuttack में खराब फुटपाथ की मरम्मत चाहिए।",hi,"damaged footpath on main road of Ward-09, Cuttack.",roads,damaged footpath,Cuttack,Ward-09,2026-03-07 18:23:00,medium,7,O023,Roads & Works,0.67,0,in_progress
C0015,audio,"Complaint filed for blocked drain in Ward-03, Cuttack since 3 days.",en,"Complaint filed for blocked drain in Ward-03, Cuttack since 3 days.",drainage,blocked drain,Cuttack,Ward-03,2026-01-18 06:04:00,medium,5,O026,Drainage,0.85,2,resolved
C0016,text,Ward-08 इलाके में गंदा पानी पिछले 1 दिन से है।,hi,There is contaminated water near Ward-08 in Bhubaneswar since 1 day.,water,contaminated water,Bhubaneswar,Ward-08,2026-03-14 19:26:00,high,1,O002,Water Supply,0.54,3,in_progress
C0017,text,मरे जानवर को नहीं उठाया गया के कारण Ward-20 क्षेत्र में परेशानी है।,hi,"dead animal pickup in Ward-20, Sambalpur for the last 3 days.",sanitation,dead animal pickup,Sambalpur,Ward-20,2026-02-20 21:17:00,low,4,O054,Sanitation,0.85,3,submitted
C0018,text,"There is mosquito breeding near residential area in Ward-11, Sambalpur.",en,"There is mosquito breeding near residential area in Ward-11, Sambalpur.",health,mosquito breeding,Sambalpur,Ward-11,2026-03-10 09:16:00,high,2,O061,Public Health,0.89,2,in_progress
C0019,text,"sparking wire reported in Ward-09, Cuttack for 3 days.",en,"sparking wire reported in Ward-09, Cuttack for 3 days.",electricity,sparking wire,Cuttack,Ward-09,2026-02-08 13:50:00,medium,4,O020,Electrical,0.43,1,submitted
C0020,video,"road signage missing at junction in Ward-18, Puri.",en,"road signage missing at junction in Ward-18, Puri.",transport,road signage missing,Puri,Ward-18,2026-01-22 18:14:00,medium,4,O048,Traffic & Transport,0.35,1,submitted
C0021,text,"Complaint filed for sewer overflow in Ward-20, Sambalpur since 5 hours.",en,"Complaint filed for sewer overflow in Ward-20, Sambalpur since 5 hours.",drainage,sewer overflow,Sambalpur,Ward-20,2026-01-27 03:00:00,high,1,O058,Drainage,0.3,0,in_progress
C0022,text,ट्रैफिक सिग्नल बंद के कारण यातायात प्रभावित है।,hi,"traffic signal not working at junction in Ward-03, Cuttack.",transport,traffic signal not working,Cuttack,Ward-03,2026-01-17 01:03:00,medium,4,O032,Traffic & Transport,0.29,3,submitted
C0023,text,"Complaint about dead animal pickup near apartment block in Ward-05, Bhubaneswar.",en,"Complaint about dead animal pickup near apartment block in Ward-05, Bhubaneswar.",sanitation,dead animal pickup,Bhubaneswar,Ward-05,2026-03-08 12:33:00,high,1,O006,Sanitation,0.91,3,submitted
C0024,text,"street light failure reported in Ward-05, Bhubaneswar for 1 week.",en,"street light failure reported in Ward-05, Bhubaneswar for 1 week.",electricity,street light failure,Bhubaneswar,Ward-05,2026-02-17 10:04:00,high,1,O003,Electrical,0.52,3,submitted
C0025,text,"manhole cover broken near Ward-14, Cuttack after rain.",en,"manhole cover broken near Ward-14, Cuttack after rain.",drainage,manhole cover broken,Cuttack,Ward-14,2026-03-10 22:59:00,high,3,O026,Drainage,0.29,1,resolved
C0026,text,"Urgent: street light failure near market area of Ward-03, Cuttack.",en,"Urgent: street light failure near market area of Ward-03, Cuttack.",electricity,street light failure,Cuttack,Ward-03,2026-03-01 02:19:00,medium,2,O020,Electrical,0.94,3,submitted
C0027,text,"Health-related complaint about illegal dumping in Ward-08, Bhubaneswar.",en,"Health-related complaint about illegal dumping in Ward-08, Bhubaneswar.",health,illegal dumping,Bhubaneswar,Ward-08,2026-03-12 10:17:00,high,3,O013,Public Health,0.8,3,resolved
C0028,text,"Health-related complaint about mosquito breeding in Ward-21, Cuttack.",en,"Health-related complaint about mosquito breeding in Ward-21, Cuttack.",health,mosquito breeding,Cuttack,Ward-21,2026-01-29 11:26:00,medium,2,O030,Public Health,0.42,5,submitted
C0029,audio,"Immediate action needed for stray dog issue near Ward-08, Bhubaneswar.",en,"Immediate action needed for stray dog issue near Ward-08, Bhubaneswar.",public_safety,stray dog issue,Bhubaneswar,Ward-08,2026-01-17 08:33:00,low,5,O011,Public Safety,0.79,0,submitted
C0030,text,"manhole cover broken near Ward-21, Cuttack after rain.",en,"manhole cover broken near Ward-21, Cuttack after rain.",drainage,manhole cover broken,Cuttack,Ward-21,2026-01-27 20:35:00,low,5,O025,Drainage,0.52,0,in_progress
C0031,text,"Please address dead animal pickup in Ward-12, Bhubaneswar.",en,"Please address dead animal pickup in Ward-12, Bhubaneswar.",sanitation,dead animal pickup,Bhubaneswar,Ward-12,2026-01-22 03:29:00,medium,3,O006,Sanitation,0.5,5,in_progress
C0032,text,"Urgent: sparking wire near market area of Ward-14, Cuttack.",en,"Urgent: sparking wire near market area of Ward-14, Cuttack.",electricity,sparking wire,Cuttack,Ward-14,2026-03-04 06:19:00,high,2,O019,Electrical,0.98,1,submitted
C0033,text,"unsafe construction debris creating danger in Ward-11, Sambalpur.",en,"unsafe construction debris creating danger in Ward-11, Sambalpur.",public_safety,unsafe construction debris,Sambalpur,Ward-11,2026-03-08 12:26:00,low,5,O059,Public Safety,0.78,3,submitted
C0034,text,"Transport complaint: bus stop damage near bus stand in Ward-03, Cuttack.",en,"Transport complaint: bus stop damage near bus stand in Ward-03, Cuttack.",transport,bus stop damage,Cuttack,Ward-03,2026-02-09 07:00:00,medium,4,O031,Traffic & Transport,0.52,1,submitted
C0035,audio,"Ward-18, Puri में खतरनाक निर्माण मलबा से खतरा है।",hi,"unsafe construction debris creating danger in Ward-18, Puri.",public_safety,unsafe construction debris,Puri,Ward-18,2026-03-07 03:31:00,low,5,O044,Public Safety,0.25,2,resolved
C0036,text,"mosquito breeding observed in Ward-01, Bhubaneswar.",en,"mosquito breeding observed in Ward-01, Bhubaneswar.",health,mosquito breeding,Bhubaneswar,Ward-01,2026-01-29 00:50:00,medium,2,O013,Public Health,0.48,1,in_progress
C0037,audio,कचरा नहीं उठाया गया के कारण Ward-09 क्षेत्र में परेशानी है।,hi,"garbage not collected in Ward-09, Cuttack for the last 2 days.",sanitation,garbage not collected,Cuttack,Ward-09,2026-01-13 13:14:00,medium,3,O021,Sanitation,0.4,0,resolved
C0038,text,"People are suffering due to waterlogging in Ward-20, Sambalpur.",en,"People are suffering due to waterlogging in Ward-20, Sambalpur.",drainage,waterlogging,Sambalpur,Ward-20,2026-03-01 05:16:00,low,7,O058,Drainage,0.36,3,submitted
C0039,audio,"Ward-20, Sambalpur में आवारा कुत्ते की समस्या से खतरा है।",hi,"stray dog issue creating danger in Ward-20, Sambalpur.",public_safety,stray dog issue,Sambalpur,Ward-20,2026-01-02 00:36:00,high,2,O060,Public Safety,0.78,3,in_progress
C0040,text,"Ward-09, Cuttack में खुला इलेक्ट्रिक बॉक्स से खतरा है।",hi,"open electric box creating danger in Ward-09, Cuttack.",public_safety,open electric box,Cuttack,Ward-09,2026-01-09 14:57:00,medium,4,O027,Public Safety,0.82,2,in_progress
C0041,text,"People are suffering due to manhole cover broken in Ward-08, Bhubaneswar.",en,"People are suffering due to manhole cover broken in Ward-08, Bhubaneswar.",drainage,manhole cover broken,Bhubaneswar,Ward-08,2026-02-13 03:58:00,high,3,O010,Drainage,0.4,4,resolved
C0042,text,"Public safety complaint: unsafe construction debris in Ward-02, Puri.",en,"Public safety complaint: unsafe construction debris in Ward-02, Puri.",public_safety,unsafe construction debris,Puri,Ward-02,2026-02-04 05:54:00,medium,4,O043,Public Safety,0.27,2,in_progress
C0043,audio,"Ward-11, Sambalpur में खतरनाक निर्माण मलबा से खतरा है।",hi,"unsafe construction debris creating danger in Ward-11, Sambalpur.",public_safety,unsafe construction debris,Sambalpur,Ward-11,2026-02-18 05:20:00,high,1,O059,Public Safety,0.25,3,in_progress
